"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Policy is accepted Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Wed Apr 23 17:20:42 GMT 2025","passed","Wed Apr 23 17:20:42 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","29","Policy is accepted PCF Use Case (new notation)","","Wed Apr 23 17:20:41 GMT 2025","passed","Wed Apr 23 17:20:41 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","32690","Consumer gets cached catalog with provider entry","","Wed Apr 23 17:20:02 GMT 2025","passed","Wed Apr 23 17:20:35 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest$InMemory","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","2251","Verify the refresh endpoint is not called when auto_refresh=false","","Wed Apr 23 17:19:11 GMT 2025","passed","Wed Apr 23 17:19:13 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","144","Verify HTTP 200 response and body when refreshing succeeds","","Wed Apr 23 17:19:47 GMT 2025","passed","Wed Apr 23 17:19:48 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","getEdrWithRefresh_success"
"","273","Expect the Catalog request to fail if a credential is revoked","","Wed Apr 23 17:22:10 GMT 2025","passed","Wed Apr 23 17:22:10 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","831","The sign key of the authentication token is different from the public key from the DID","","Wed Apr 23 17:19:33 GMT 2025","passed","Wed Apr 23 17:19:33 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_spoofedAuthToken"
"","1931","Contract policy is NOT fulfilled Traceability Use Case (new notation)","","Wed Apr 23 17:24:12 GMT 2025","passed","Wed Apr 23 17:24:13 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","1997","Contract policy is NOT fulfilled Dismantler allowedBrands (NEQ, but is equal)","","Wed Apr 23 17:22:16 GMT 2025","passed","Wed Apr 23 17:22:18 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","239","Consumer gets catalog from the provider. No constraints.","","Wed Apr 23 17:19:20 GMT 2025","passed","Wed Apr 23 17:19:20 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$InMemory","requestCatalog_fulfillsPolicy_shouldReturnOffer"
