"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Wed Jul 02 19:13:19 GMT 2025","passed","Wed Jul 02 19:13:20 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_shouldReject"
"","1467","Consumer gets cached catalog with provider entry","","Wed Jul 02 19:13:39 GMT 2025","passed","Wed Jul 02 19:13:40 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","30","Policy is accepted Dismantler Credential","","Wed Jul 02 19:12:43 GMT 2025","passed","Wed Jul 02 19:12:43 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","13118","shouldTransferOneGbFile()","","Wed Jul 02 19:05:53 GMT 2025","passed","Wed Jul 02 19:06:06 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldTransferOneGbFile"
"","8035","transferData_withExpiredEdr_shouldReturn4xx()","","Wed Jul 02 19:05:47 GMT 2025","passed","Wed Jul 02 19:05:55 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","1933","Contract policy is NOT fulfilled Dismantler activityType does not match","","Wed Jul 02 19:07:49 GMT 2025","passed","Wed Jul 02 19:07:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","7097","azureBlobPush_containerNotExist()","","Wed Jul 02 19:04:58 GMT 2025","passed","Wed Jul 02 19:05:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_containerNotExist"
"","2997","Contract policy is fulfilled MembershipCredential","","Wed Jul 02 19:06:22 GMT 2025","passed","Wed Jul 02 19:06:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","157","refreshEdr_whenNotFound()","","Wed Jul 02 19:04:24 GMT 2025","passed","Wed Jul 02 19:04:24 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotFound"
"","1650","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Wed Jul 02 19:06:19 GMT 2025","passed","Wed Jul 02 19:06:20 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","1570","retireAgreement_shouldFail_whenAgreementDoesNotExist()","","Wed Jul 02 19:04:39 GMT 2025","passed","Wed Jul 02 19:04:41 GMT 2025","","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest","retireAgreement_shouldFail_whenAgreementDoesNotExist"
"","2664","Contract policy is fulfilled Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Wed Jul 02 19:08:21 GMT 2025","passed","Wed Jul 02 19:08:24 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","6817","transferFile_success()","","Wed Jul 02 19:05:32 GMT 2025","passed","Wed Jul 02 19:05:39 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","35","Policy is accepted PCF Use Case (new notation)","","Wed Jul 02 19:12:43 GMT 2025","passed","Wed Jul 02 19:12:43 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","10565","azureBlobPush_withoutDestFolder()","","Wed Jul 02 19:04:41 GMT 2025","passed","Wed Jul 02 19:04:52 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","1676","shouldDelegateAuth()","","Wed Jul 02 19:04:49 GMT 2025","passed","Wed Jul 02 19:04:51 GMT 2025","","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","shouldDelegateAuth"
"","560","Policy is accepted MembershipCredential","","Wed Jul 02 19:12:43 GMT 2025","passed","Wed Jul 02 19:12:43 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","56","Policy is accepted DataExchangeGovernance use case","","Wed Jul 02 19:12:44 GMT 2025","passed","Wed Jul 02 19:12:44 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
