"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5897","Contract policy is fulfilled PCF Use Case (new notation)","","Wed May 07 21:47:44 GMT 2025","passed","Wed May 07 21:47:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","61","Policy is accepted PCF Use Case (legacy notation)","","Wed May 07 21:46:53 GMT 2025","passed","Wed May 07 21:46:53 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1670","Verify the refresh endpoint is not called when auto_refresh=false","","Wed May 07 21:45:46 GMT 2025","passed","Wed May 07 21:45:48 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","8631","transferData_privateBackend()","","Wed May 07 21:47:36 GMT 2025","passed","Wed May 07 21:47:44 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_privateBackend"
"","44","Policy is accepted PCF Use Case (new notation)","","Wed May 07 21:46:53 GMT 2025","passed","Wed May 07 21:46:53 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","40","Policy is accepted PCF Use Case (legacy notation)","","Wed May 07 21:46:52 GMT 2025","passed","Wed May 07 21:46:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","7076","transferFile_success()","","Wed May 07 21:48:47 GMT 2025","passed","Wed May 07 21:48:54 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","15296","transferData_withTerminate()","","Wed May 07 21:47:48 GMT 2025","passed","Wed May 07 21:48:04 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_withTerminate"
"","1363","Policy is accepted MembershipCredential","","Wed May 07 21:46:51 GMT 2025","passed","Wed May 07 21:46:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","42","Policy is accepted In force date policy","","Wed May 07 21:46:54 GMT 2025","passed","Wed May 07 21:46:54 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
