"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5490","When multiple requests to refresh, to different edrs, verify all return non expired token","","Tue Nov 25 18:04:17 UTC 2025","passed","Tue Nov 25 18:04:23 UTC 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_subsequentRequestReturn"
"","55","Policy is accepted ""In force date policy""","","Tue Nov 25 18:02:13 UTC 2025","passed","Tue Nov 25 18:02:13 UTC 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2073","trigger_shouldReturnSuccess_whenAllValidationsSucceed()","","Tue Nov 25 18:01:50 UTC 2025","passed","Tue Nov 25 18:01:52 UTC 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","trigger_shouldReturnSuccess_whenAllValidationsSucceed"
"","11279","shouldTransferOneGbFile()","","Tue Nov 25 18:02:06 UTC 2025","passed","Tue Nov 25 18:02:18 UTC 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldTransferOneGbFile"
"","54","Policy is not accepted ""Policy with mutually exclusive constraints""","","Tue Nov 25 18:02:13 UTC 2025","passed","Tue Nov 25 18:02:14 UTC 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","45","Policy is accepted ""Usage Purpose""","","Tue Nov 25 18:02:14 UTC 2025","passed","Tue Nov 25 18:02:14 UTC 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","54","Policy is accepted ""Warranty Duration Months""","","Tue Nov 25 18:02:12 UTC 2025","passed","Tue Nov 25 18:02:12 UTC 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","193","Policy is not accepted ""Usage policy with empty permission""","","Tue Nov 25 18:02:13 UTC 2025","passed","Tue Nov 25 18:02:13 UTC 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","2376","Refresh token is null or empty (missing) [2] """"","","Tue Nov 25 18:03:01 UTC 2025","passed","Tue Nov 25 18:03:03 UTC 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidRefreshToken"
"","169","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Tue Nov 25 18:01:53 UTC 2025","passed","Tue Nov 25 18:01:53 UTC 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
