"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2046","transferFile_s3ToAzure(Vault)","","Wed May 21 12:02:54 GMT 2025","passed","Wed May 21 12:02:56 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_s3ToAzure"
"","19022","transferFile_largeFile(long, Vault) File size bytes: 536870912","","Wed May 21 12:01:49 GMT 2025","passed","Wed May 21 12:02:08 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
"","6881","transferFile_success()","","Wed May 21 12:04:04 GMT 2025","passed","Wed May 21 12:04:11 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","2619","Contract policy is fulfilled MembershipCredential","","Wed May 21 12:03:27 GMT 2025","passed","Wed May 21 12:03:30 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2045","shouldFail_whenDestinationBucketDoesNotExist()","","Wed May 21 12:03:10 GMT 2025","passed","Wed May 21 12:03:12 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldFail_whenDestinationBucketDoesNotExist"
"","30","Policy is accepted Dismantler Credential","","Wed May 21 12:01:45 GMT 2025","passed","Wed May 21 12:01:45 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","5906","transferData_privateBackend_withConsumerDataPlane()","","Wed May 21 12:04:32 GMT 2025","passed","Wed May 21 12:04:37 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_privateBackend_withConsumerDataPlane"
"","2174","transferFile_success()","","Wed May 21 12:03:08 GMT 2025","passed","Wed May 21 12:03:10 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferFile_success"
"","2787","transferData_privateBackend_withConsumerDataPlane()","","Wed May 21 12:02:56 GMT 2025","passed","Wed May 21 12:02:59 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_privateBackend_withConsumerDataPlane"
"","5956","Contract policy is fulfilled PCF Use Case (new notation)","","Wed May 21 12:05:19 GMT 2025","passed","Wed May 21 12:05:24 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
